token,score
collector,34.19769060682991
argu,33.844524264346894
sincer,33.82809473864227
fortifi,33.62800176250275
bread,33.42280102964853
mourn,33.26904221426015
garden,33.22712159056846
carri,33.19170813336736
socket,32.95544172725269
ground,32.889005964530135
suprem,32.71083449348947
illustri,32.71083449348947
baptism,32.71083449348947
genuin,32.71083449348947
sexual,32.71083449348947
shechem,32.60509818961266
garment,32.47158421433144
piec,32.46405472653435
forev,32.427144445256225
mount,32.401838080098344
patient,32.37897526374671
council,32.36406725277352
mysteri,32.36406725277352
drown,32.278749027111836
tribul,32.278749027111836
law,32.03617277868756
forsak,32.0168253532524
repair,31.93757072078558
hope,31.91582247243109
persecut,31.91026095632853
blood,31.67385511754263
ephod,31.61032165675259
esther,31.61032165675259
expel,31.546742383372376
forti,31.273664791762492
torah,31.223978380149045
achiev,31.223978380149045
distinct,31.223978380149045
relat,31.11612460362904
replac,30.884143499680746
fornic,30.884143499680746
submiss,30.884143499680746
experi,30.81390040662109
magic,30.81390040662109
orphan,30.81390040662109
neglect,30.81390040662109
fall,30.722024916757057
edg,30.7032160111507
forsaken,30.537679157955573
path,30.509987894062746
iron,30.46069165676566
tenth,30.433310189298545
pay,30.37457961117403
balaam,30.280169077359936
azariah,30.26520158625248
heap,30.047161595537908
wine,30.01845357777915
slain,29.94351205101229
realiz,29.76425479446558
girl,29.753543728874547
timothi,29.737122266808615
proof,29.737122266808615
threaten,29.737122266808615
macedonia,29.737122266808615
centurion,29.737122266808615
rock,29.70857826162993
joash,29.592641551002423
flee,29.556026696264922
singl,29.48854389432351
begot,29.42381718291818
lamb,29.392309758069132
uncov,29.238898393923723
sinner,29.219971315312318
boast,29.219971315312318
beg,29.21840232943665
vow,29.14761034949258
marvel,29.024635402384398
find,28.97796816064108
elisha,28.957311715951306
gibeah,28.920081515752365
hittit,28.920081515752365
rachel,28.920081515752365
made,28.866689457526107
die,28.79790496279628
arrow,28.736676267883208
mock,28.668268638285397
stretch,28.5297962915397
strong,28.43131966788186
humili,28.3973359432783
ungrat,28.250266153468182
lawless,28.250266153468182
vers,28.250266153468182
asia,28.250266153468182
hostil,28.250266153468182
rabbi,28.250266153468182
warner,28.250266153468182
domin,28.250266153468182
mold,28.247521480502314
weak,28.199323587549486
provinc,27.93655037428909
curtain,27.93655037428909
servic,27.814825005099962
ox,27.63607346065841
holi,27.529412296315954
pit,27.501337394465633
